"","year","id","go","m","l","k","sic3dig","countyear","va"
"794",79,72072,11126.671875,3656.62670898438,30,3989.322265625,332,8,7470.044921875
"795",86,72072,6565.0458984375,2055.41088867188,14,1378.36315917969,332,8,4509.634765625
"796",80,72072,9005,2953,29,3562.22119140625,332,8,6052
"797",85,72072,6983.5888671875,2111.37744140625,16,4103.9130859375,332,8,4872.21142578125
"798",82,72072,7701.8447265625,1252.66809082031,22,4857.080078125,332,8,6449.1767578125
"799",84,72072,7845.6162109375,1662.49682617188,19,4340.32568359375,332,8,6183.119140625
"800",81,72072,11515.3017578125,3621.83374023438,25,4901.9697265625,332,8,7893.4677734375
"801",79,73206,144621.421875,77546.515625,169,12615.646484375,322,8,67074.90625
"802",80,73206,135305.828125,109634,153,11624.1005859375,322,8,25671.828125
"803",83,73206,135301.890625,68179.28125,102,9063.984375,322,8,67122.609375
"804",84,73206,127936.3125,71822.8125,108,8097.2939453125,322,8,56113.5
"805",85,73206,176044.421875,99104.28125,147,7239.3310546875,322,8,76940.140625
"806",82,73206,112430.5390625,77483.125,136,10241.900390625,322,8,34947.4140625
"807",81,73206,136361.59375,41167.3984375,165,11537.7431640625,322,8,95194.1953125
"808",86,73206,193185.640625,113870.609375,160,6476.8115234375,322,8,79315.03125
"809",86,73305,74656.6328125,23958.744140625,78,13073.1171875,332,8,50697.890625
"810",80,73305,59338.5625,22732,81,19042.427734375,332,8,36606.5625
"811",82,73305,62283.02734375,45413.0703125,53,16008.802734375,332,8,16869.95703125
"812",84,73305,41101.296875,23384.8515625,44,14546.1865234375,332,8,17716.4453125
"813",81,73305,95509.4375,49734.33203125,93,17437.18359375,332,8,45775.10546875
"814",85,73305,53223.796875,14583.84375,53,13942.7353515625,332,8,38639.953125
"815",83,73305,29519.431640625,19250.138671875,38,15082.1396484375,332,8,10269.29296875
"816",79,73305,54049.4765625,18760.5703125,82,20850.775390625,332,8,35288.90625
"817",79,74745,1724.50500488281,975.601196289062,48,2704.013671875,381,8,748.90380859375
"818",81,74745,4663.56787109375,2040.27783203125,27,2167.4091796875,381,8,2623.2900390625
"819",84,74745,1456.47143554688,550.785522460938,17,1563.50268554688,381,8,905.685913085938
"820",86,74745,19594.26953125,3812.84106445312,22,1256.61376953125,381,8,15781.4287109375
"821",83,74745,11440.017578125,585.756591796875,21,1742.93823242188,381,8,10854.2607421875
"822",82,74745,12004.7841796875,2611.91796875,25,1943.16870117188,381,8,9392.8662109375
"823",85,74745,1274.26245117188,565.863830566406,21,1402.15673828125,381,8,708.398620605469
"824",80,74745,2840,1270,31,2419.494140625,381,8,1570
"825",79,74754,32398.08203125,9082.19921875,42,6936.77880859375,356,8,23315.8828125
"826",86,74754,25740.9453125,12003.0908203125,39,10261.8408203125,356,8,13737.8544921875
"827",80,74754,32699.564453125,7059,41,6596.2236328125,356,8,25640.564453125
"828",82,74754,17303.861328125,2333.74487304688,31,10429.9228515625,356,8,14970.1162109375
"829",84,74754,36697.27734375,8486.9716796875,32,10647.697265625,356,8,28210.3046875
"830",85,74754,22015.2109375,7755.90673828125,31,11093.951171875,356,8,14259.3046875
"831",81,74754,27259.5234375,6395.1171875,36,11401.5791015625,356,8,20864.40625
"832",83,74754,33118.98046875,7359.58447265625,31,9913.4990234375,356,8,25759.396484375
"833",81,76365,10376.259765625,3445.83911132812,14,1452.82861328125,311,8,6930.4208984375
"834",83,76365,6637.25439453125,5000.60986328125,13,1248.16101074219,311,8,1636.64453125
"835",79,76365,11684.26953125,6285.5400390625,16,1702.23937988281,311,8,5398.7294921875
"836",85,76365,7343.09423828125,4544.45263671875,14,1078.34753417969,311,8,2798.6416015625
"837",80,76365,12389.1513671875,5223,16,1571.19274902344,311,8,7166.1513671875
"838",86,76365,8625.7880859375,5067.814453125,16,1004.15686035156,311,8,3557.9736328125
"839",84,76365,8763.9326171875,4031.61328125,14,1159.40319824219,311,8,4732.3193359375
"840",82,76365,7547.36279296875,4224.9130859375,12,1345.59240722656,311,8,3322.44970703125
"841",80,76923,57966.234375,19294,58,21324.56640625,381,8,38672.234375
"842",84,76923,102839.734375,30863.9375,70,18566.466796875,381,8,71975.796875
"843",83,76923,95190.5703125,23457.59765625,51,17516.484375,381,8,71732.96875
"844",82,76923,49097.0625,14359.95703125,47,18567.49609375,381,8,34737.10546875
"845",86,76923,111012.4921875,45053.7578125,81,21148.384765625,381,8,65958.734375
"846",85,76923,131237.921875,40030.59375,72,18097.8046875,381,8,91207.328125
"847",79,76923,47093.64453125,31272.212890625,58,22746.220703125,381,8,15821.431640625
"848",81,76923,40394.12890625,12254.8642578125,52,19945.791015625,381,8,28139.265625
"849",79,77445,59418.38671875,22496.13671875,26,6692.75048828125,352,8,36922.25
