"","year","sic4dig","id","go","m","l","k","sic3dig","sic2dig","minyear","maxyear","countyear","va","lnvaOl","lnk"
"1655",82,3839,12492,2502.16381835938,459.623657226562,15,3516.59448242188,383,38,79,86,8,2042.54016113281,4.91389942169189,8.16524791717529
"1656",81,3839,12492,5032.73876953125,759.210571289062,14,3589.41528320312,383,38,79,86,8,4273.5283203125,5.72113752365112,8.1857442855835
"1657",85,3843,12546,13878.1689453125,5521.02734375,27,2514.35009765625,384,38,79,86,8,8357.1416015625,5.73503494262695,7.82976961135864
"1658",83,3843,12546,9298.19140625,3107.6015625,15,2419.72143554688,384,38,79,86,8,6190.58984375,6.02273559570312,7.79140758514404
"1659",86,3843,12546,15934.46875,7964.94677734375,28,3052.52905273438,384,38,79,86,8,7969.52197265625,5.6511754989624,8.02372550964355
"1660",84,3843,12546,10946.005859375,4300.34814453125,21,2217.42309570312,384,38,79,86,8,6645.65771484375,5.7571964263916,7.70410108566284
"1661",81,3843,12546,11110.9892578125,3655.9052734375,17,2397.93017578125,384,38,79,86,8,7455.083984375,6.0834379196167,7.78236103057861
"1662",79,3843,12546,6515.31201171875,2735.06982421875,14,904.354614257812,384,38,79,86,8,3780.2421875,5.59848594665527,6.80722141265869
"1663",80,3823,12546,13974.4052734375,4746,20,1393.9658203125,384,38,79,86,8,9228.4052734375,6.1343092918396,7.23990821838379
"1664",82,3843,12546,8361.5771484375,2387.16552734375,19,2251.02563476562,384,38,79,86,8,5974.41162109375,5.7508020401001,7.71914100646973
"1665",80,3829,12654,24356,4928,37,10724.181640625,382,38,79,86,8,19428,6.26355266571045,9.2802562713623
"1666",82,3829,12654,28394.228515625,10668.4755859375,72,10652.9609375,382,38,79,86,8,17725.75390625,5.50610780715942,9.27359294891357
"1667",79,3823,12654,21010.802734375,3579.13525390625,32,10680.357421875,382,38,79,86,8,17431.66796875,6.3003077507019,9.27616119384766
"1668",81,3829,12654,32586.916015625,7134.1376953125,48,10465.3134765625,382,38,79,86,8,25452.77734375,6.2733793258667,9.25582122802734
"1669",86,3829,12654,80925.6328125,23235.333984375,187,12424.3037109375,382,38,79,86,8,57690.296875,5.73173570632935,9.42741012573242
"1670",83,3829,12654,36411.48828125,7717.85791015625,72,10185.369140625,382,38,79,86,8,28693.630859375,5.98776435852051,9.2287073135376
"1671",84,3829,12654,52346.76171875,13492.818359375,105,10166.8837890625,382,38,79,86,8,38853.9453125,5.91360473632812,9.22689056396484
"1672",85,3829,12654,100652.6171875,28243.783203125,155,11325.9033203125,382,38,79,86,8,72408.8359375,6.14665842056274,9.33484745025635
"1673",81,3117,12744,19247.173828125,10663.7216796875,27,2973.439453125,311,31,79,86,8,8583.4521484375,5.76175451278687,7.99747467041016
"1674",80,3117,12744,17817,10073,28,2778.1552734375,311,31,79,86,8,7744,5.62246894836426,7.92954254150391
"1675",85,3117,12744,13534.9716796875,10679.1240234375,21,2452.90087890625,311,31,79,86,8,2855.84765625,4.91260147094727,7.80502653121948
"1676",79,3117,12744,14453.5068359375,10396.142578125,23,2830.12890625,311,31,79,86,8,4057.3642578125,5.17279481887817,7.94807767868042
"1677",83,3117,12744,14433.341796875,10507.2802734375,24,2906.8095703125,311,31,79,86,8,3926.0615234375,5.09733819961548,7.97481155395508
"1678",84,3117,12744,13086.4951171875,8857.380859375,23,2748.8056640625,311,31,79,86,8,4229.1142578125,5.21425342559814,7.91892194747925
"1679",82,3117,12744,20068.705078125,11882.4482421875,26,3053.68383789062,311,31,79,86,8,8186.2568359375,5.75211572647095,8.02410411834717
"1680",86,3117,12744,14008.7978515625,10353.2607421875,20,2359.38891601562,311,31,79,86,8,3655.537109375,5.20826625823975,7.76615810394287
"1681",81,3522,12771,24968.158203125,11861.45703125,47,1794.94909667969,352,35,79,86,8,13106.701171875,5.63073110580444,7.49273204803467
"1682",86,3522,12771,37344.55859375,19406.50390625,74,12321.4521484375,352,35,79,86,8,17938.0546875,5.49061441421509,9.41909694671631
"1683",82,3522,12771,23620.927734375,6222.94482421875,48,1884.42614746094,352,35,79,86,8,17397.982421875,5.89290857315063,7.54137849807739
"1684",85,3522,12771,38180.64453125,12621.4716796875,63,10494.84765625,352,35,79,86,8,25559.171875,6.00561666488647,9.25863933563232
"1685",84,3522,12771,31798.791015625,9983.92578125,58,9464.3447265625,352,35,79,86,8,21814.865234375,5.92990398406982,9.15528678894043
"1686",79,3522,12771,23746.18359375,8287.8427734375,29,1450.314453125,352,35,79,86,8,15458.3408203125,6.27860832214355,7.27953577041626
"1687",83,3522,12771,22820.275390625,12987.0068359375,56,2301.39672851562,352,35,79,86,8,9833.2685546875,5.16817474365234,7.74127149581909
"1688",80,3522,12771,24651.630859375,8414,50,1590.150390625,352,35,79,86,8,16237.630859375,5.7830638885498,7.37158393859863
"1689",79,3514,12807,78089.8671875,54280.43359375,17,48419.15234375,351,35,79,86,8,23809.43359375,7.24462366104126,10.7876510620117
"1690",85,3514,12807,173514.953125,96141,15,32731.568359375,351,35,79,86,8,77373.953125,8.54835510253906,10.3960952758789
"1691",84,3514,12807,126860.1328125,109396.1875,15,34908.375,351,35,79,86,8,17463.9453125,7.05984354019165,10.4604816436768
"1692",80,3514,12807,59297.6796875,44737,16,45537.5625,351,35,79,86,8,14560.6796875,6.8134913444519,10.7262926101685
"1693",82,3514,12807,93609.0703125,45175.82421875,15,39522.53125,351,35,79,86,8,48433.24609375,8.07989120483398,10.5846261978149
"1694",86,3514,12807,149029.4375,101999.1328125,15,30684.98046875,351,35,79,86,8,47030.3046875,8.05049705505371,10.3315286636353
"1695",81,3514,12807,100783.25,77900.5390625,15,42212.05078125,351,35,79,86,8,22882.7109375,7.33008670806885,10.6504611968994
"1696",83,3514,12807,131804.609375,69014.171875,11,37021.04296875,351,35,79,86,8,62790.4375,8.64966297149658,10.5192413330078
"1697",85,3113,12816,40236.65234375,27660.7734375,45,7420.46826171875,311,31,79,86,8,12575.87890625,5.63287353515625,8.91199779510498
"1698",86,3113,12816,48476.44140625,34702.29296875,32,6718.05908203125,311,31,79,86,8,13774.1484375,6.06481313705444,8.81255435943604
"1699",79,3113,12816,32558.146484375,15969.25,26,4407.7275390625,311,31,79,86,8,16588.896484375,6.45839214324951,8.39111423492432
"1700",82,3113,12816,39598.76171875,24088.28125,36,6229.708984375,311,31,79,86,8,15510.48046875,6.0657525062561,8.73708534240723
"1701",81,3113,12816,10930.0966796875,7063.921875,30,6536.0576171875,311,31,79,86,8,3866.1748046875,4.85882329940796,8.78508949279785
"1702",80,3113,12816,33058.078125,20757,28,7060.61376953125,311,31,79,86,8,12301.078125,6.08523750305176,8.8622875213623
"1703",84,3113,12816,43781.7578125,29479.01953125,20,7743.6904296875,311,31,79,86,8,14302.73828125,6.57247400283813,8.95463371276855
"1704",83,3113,12816,56891.328125,27462.921875,47,6297.283203125,311,31,79,86,8,29428.40625,6.43956804275513,8.74787330627441
"1705",85,3134,12924,87652.921875,23756.029296875,64,51767.0625,313,31,79,86,8,63896.890625,6.9061427116394,10.8545093536377
"1706",79,3134,12924,91422.078125,11636.322265625,84,47990.68359375,313,31,79,86,8,79785.7578125,6.85628366470337,10.7787618637085
"1707",83,3134,12924,88436.2734375,21938.23828125,75,52331.35546875,313,31,79,86,8,66498.03125,6.78743934631348,10.8653507232666
"1708",84,3134,12924,84719,24998.79296875,65,54239.50390625,313,31,79,86,8,59720.20703125,6.82303857803345,10.9011650085449
"1709",82,3134,12924,84125.390625,23783.7421875,74,55014.375,313,31,79,86,8,60341.6484375,6.70371294021606,10.9153499603271
"1710",81,3134,12924,84257.5625,11937.7001953125,74,48361.8671875,313,31,79,86,8,72319.859375,6.88478899002075,10.7864665985107
"1711",80,3134,12924,83747.4140625,7778,74,50512.17578125,313,31,79,86,8,75969.4140625,6.93402099609375,10.8299694061279
"1712",86,3134,12924,87029.265625,24266.923828125,69,49560.703125,313,31,79,86,8,62762.34375,6.81300401687622,10.8109531402588
"1713",81,3114,12951,149403.96875,71145.3671875,209,55798.7265625,311,31,79,86,8,78258.6015625,5.92543983459473,10.9295063018799
"1714",85,3114,12951,328995.25,217793.609375,240,38027.0859375,311,31,79,86,8,111201.640625,6.13846158981323,10.5460538864136
"1715",86,3114,12951,419456.875,218877.125,439,98926.4765625,311,31,79,86,8,200579.75,6.12446784973145,11.5021324157715
"1716",79,3114,12951,129150.9375,44851.0078125,242,61436.26953125,311,31,79,86,8,84299.9296875,5.85319852828979,11.0257558822632
"1717",80,3114,12951,105168.484375,36933,251,57054.6484375,311,31,79,86,8,68235.484375,5.60526704788208,10.9517650604248
"1718",83,3114,12951,216795.109375,127610.765625,242,48419.1328125,311,31,79,86,8,89184.34375,5.90952301025391,10.7876501083374
